Mohamed2024SQLTables	misc	10.29007/rlt7		Mohamed, Mudathir and Reynolds, Andrew and Tinelli, Cesare and Barrett, Clark	2024	Verifying {SQL
Ba2024DQP	article	10.1145/3654991		Ba, Jinsheng and Rigger, Manuel	2024	Keep It Simple: Testing Databases via Differential Query Plans
Fu2025Thanos	inproceedings	10.1109/ICSE55347.2025.00257		Fu, Ying and Wu, Zhiyong and Zhang, Yuanliang and Liang, Jie and Fu, Jingzhou and Jiang, Yu and Li, Shanshan and Liao, X	2025	{Thanos
Zhong2025SQLancerPP	inproceedings	10.1145/3779212.3790215		Zhong, Suyang and Rigger, Manuel	2026	Scaling Automated Database System Testing
Higham2002Accuracy	book			Higham, Nicholas J.	2002	Accuracy and Stability of Numerical Algorithms
StammlerAbbate1983	book			Stamm'ler, Rudi J. J. and Abbate, Maximo J.	1983	Methods of Steady-State Reactor Physics in Nuclear Design
Stacey2007	book			Stacey, Weston M.	2007	Nuclear Reactor Physics
LamarshBaratta2001	book			Lamarsh, John R. and Baratta, Anthony J.	2001	Introduction to Nuclear Engineering
NRC10CFR50AppA	misc			{U.S. Nuclear Regulatory Commission	2024	General Design Criteria for Nuclear Power Plants
ANS196_1	misc			{American Nuclear Society	2011	Reload Startup Physics Tests for Pressurized Water Reactors
NRCRG177	misc			{U.S. Nuclear Regulatory Commission	2020	Assumptions Used for Evaluating a Control Rod Ejection Accident for Pressurized Water Reactors
Coles2016PIT	inproceedings	10.1145/2931037.2948707		Coles, Henry and Laurent, Thomas and Henard, Christopher and Papadakis, Mike and Ventresque, Anthony	2016	{PIT
Gotlieb2003Symmetries	inproceedings	10.1109/ISSRE.2003.1251058		Gotlieb, Arnaud	2003	Exploiting Symmetries to Test Programs
GotliebBernard2006	inproceedings	10.1109/QSIC.2006.6		Gotlieb, Arnaud and Bernard, Patrick	2006	A Semi-empirical Model of Test Quality in Symmetric Testing: Application to Testing {J
PatelHierons2018	article	10.1007/s11219-017-9392-4		Patel, Krishna and Hierons, Robert M.	2018	A Mapping Study on Testing Non-testable Systems
KhritankovIakusheva2024	article	10.25209/2079-3316-2024-15-2-37-86		Khritankov, Anton S. and Iakusheva, Sofia F.	2024	A Systematic Review of Methods for Deriving Metamorphic Relations
Gruver2023LieDerivative	inproceedings	10.48550/arXiv.2210.02984	2210.02984	Gruver, Nate and Finzi, Marc and Goldblum, Micah and Wilson, Andrew Gordon	2023	The {Lie
Kaba2023Canonicalization	inproceedings		2211.06489	Kaba, S{\'e	2023	Equivariance with Learned Canonicalization Functions
