pair_id,complexity,n_nodes_total,is_equivalent_ground_truth,set_n_applicable,set_n_detected,set_n_mr_fired,set_segura_applicable,set_segura_detected,set_segura_mr_fired,seed,timestamp
testPullConstantThroughAggregateAllConst,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregateAllLiterals,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregateConstGroupBy,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregatePermuted,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregatePermutedConstFirst,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregatePermutedConstGroupBy,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughAggregateSimpleNonNullable,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughConstLast,easy,7,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughUnion,easy,3,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughUnion3,easy,3,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullConstantThroughUnionSameTypeNullableField,easy,3,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullFilterThroughAggregate,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullFilterThroughAggregateGroupingSets,medium,9,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPullNull,easy,6,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushAboveFiltersIntoInnerJoinCondition,medium,9,True,1,1,select_push,1,1,join_perm,22,2026-05-06T06:42:10+00:00
testPushAggregateFunctionsThroughJoin,medium,12,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateSumNoGroup,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateSumThroughJoin,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateSumThroughJoinAfterAggregateReduce,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateSumWithoutGroupKeyThroughJoin,hard,15,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin1,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin2,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin4,medium,10,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin5,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin6,medium,12,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin7,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoin8,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoinDistinct,medium,11,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoinOnEmptyLogicalValues,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughJoinWithUniqueInput,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin1,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin12,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin13,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin14,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin15,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin16,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin2,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin3,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin4,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin5,hard,14,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin6,medium,13,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin7,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin8,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAggregateThroughOuterJoin9,hard,16,True,0,0,,1,0,,22,2026-05-06T06:42:10+00:00
testPushAvgGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushAvgThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushBoolAndBoolOrThroughUnion,easy,4,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushCountFilterThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushCountNullableGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushCountNullableThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushCountStarGroupingSetsThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushCountStarThroughUnion,easy,5,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushFilterPastAgg,medium,10,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
testPushFilterPastAggFour,medium,8,True,0,0,,0,0,,22,2026-05-06T06:42:10+00:00
